vuosi;järvityyppi;kemiallinen hapenkulutus (mg/l);95% luottamusvälin alaraja;95% luottamusvälin yläraja
1999;vähähumuksinen;6,16244576635363;5,57899098154073;6,72952748326156
2000;humuksinen;10,3637780477889;9,43090845604094;11,4413801879211
2000;vähähumuksinen;6,17528181470233;5,59519001260198;6,75050043056976
2001;humuksinen;10,4384443849248;9,496755899986;11,5183038902508
2001;vähähumuksinen;6,19640207325337;5,60891764566284;6,7803782463599
2002;humuksinen;10,515328492897;9,57931339429229;11,5977702087618
2002;vähähumuksinen;6,23252462262372;5,6511201755387;6,81707622319531
2003;humuksinen;10,5975728616832;9,65326321316953;11,6776796397153
2003;vähähumuksinen;6,28253533335664;5,70062800203535;6,86878688665164
2004;humuksinen;10,6800490541248;9,73753002655477;11,7889231669525
2004;vähähumuksinen;6,34280310522492;5,75047632478948;6,9342889542076
2005;humuksinen;10,7681619786986;9,81610812378164;11,8877298956974
2005;vähähumuksinen;6,41144001023197;5,81343930372659;7,00899037493909
2006;humuksinen;10,8533890649182;9,89012182760615;11,975972062271
2006;vähähumuksinen;6,48637288828544;5,88101758664125;7,09218585795512
2007;humuksinen;10,9386981886453;9,96520598229958;12,0694951717956
2007;vähähumuksinen;6,56600333902483;5,94826059630817;7,18276730318121
2008;humuksinen;11,0159247719402;10,0335590256477;12,1544365913421
2008;vähähumuksinen;6,64504129851532;6,01683321905515;7,27664452249094
2009;humuksinen;11,0886410997489;10,0835277848111;12,2361900030709
2009;vähähumuksinen;6,72450599946573;6,08288774623523;7,36578423640559
2010;humuksinen;11,1556275741705;10,1432756594064;12,3215632054451
2010;vähähumuksinen;6,79815136680699;6,14443651681775;7,45202319181152
2011;humuksinen;11,2097735050645;10,187691421076;12,3862351259974
2011;vähähumuksinen;6,86910357345801;6,21126080184662;7,53275845364009
2012;humuksinen;11,2587877531763;10,2255620949145;12,4251750012721
2012;vähähumuksinen;6,93515786487817;6,27324670162631;7,61214230432627
2013;humuksinen;11,2991246038569;10,2669281507883;12,4665676634572
2013;vähähumuksinen;6,99411720148509;6,32932270685241;7,67448177354157
2014;humuksinen;11,33225407745;10,2839268126063;12,4822964571043
2014;vähähumuksinen;7,04785136370672;6,37692890065765;7,72774251830293
2015;humuksinen;11,3525056522142;10,2936428237275;12,4979370656431
2015;vähähumuksinen;7,09416722508492;6,42785476980899;7,78388210370552
2016;humuksinen;11,3569005969868;10,3041950227403;12,5218985942609
2016;vähähumuksinen;7,13649662271882;6,46395080189582;7,82544970901952
2017;humuksinen;11,3587880132369;10,3147351801799;12,5116559817762
2017;vähähumuksinen;7,176522052268;6,4963792392641;7,87388364512165
2018;humuksinen;11,354672633611;10,3028928721004;12,5228805736078
2018;vähähumuksinen;7,21640155235539;6,5249377676968;7,90353818496456
2019;humuksinen;11,3468717992415;10,2955849879804;12,5151160907884
2019;vähähumuksinen;7,25158525999398;6,54917697809897;7,9523619136927
2020;humuksinen;11,330716057327;10,2651774565186;12,5074295355336
2020;vähähumuksinen;7,2857360958632;6,57284563984735;7,99772670407892
2021;humuksinen;11,3079332665279;10,2258872516389;12,5182746368473
2021;vähähumuksinen;7,31911737821765;6,59079535915852;8,05713629636672
2022;humuksinen;11,289313260244;10,153464964179;12,5482128647779
2022;vähähumuksinen;7,34900883444531;6,60356880445515;8,11936442571018
2023;humuksinen;11,2702167809028;10,0925370444696;12,5871152718485
2023;vähähumuksinen;7,38120104716368;6,60065337117911;8,20267450766626
